Title:,Missouri EPHT Asthma,
64074,0,,
64075,9,,
64076,x,,
64077,x,,
64078,x,,
64079,7,,
64080,6,,
64081,14,,
64082,6,,
64083,16,,
64084,0,,
64085,6,,
64086,14,,
64088,0,,
64089,5,,
64090,0,,
64092,0,,
64093,29,,
64096,0,,
64097,x,,
64098,x,,
64101,x,,
64105,x,,
64106,20,,
64108,20,,
64109,33,,
64110,36,,
64111,9,,
64112,x,,
64113,x,,
64114,10,,
64116,16,,
64117,24,,
64118,38,,
64119,26,,
64120,x,,
64123,23,,
64124,20,,
64125,0,,
64126,18,,
64127,80,,
64128,72,,
64129,25,,
64130,77,,
64131,36,,
64132,69,,
64133,44,,
64134,52,,
64136,5,,
64137,10,,
64138,36,,
64139,x,,
64145,x,,
64146,0,,
64147,0,,
64149,0,,
64150,x,,
64151,13,,
64152,16,,
64153,0,,
64154,x,,
64155,12,,
64156,x,,
64157,15,,
64158,x,,
64161,0,,
64163,x,,
64164,x,,
64165,0,,
64166,0,,
64167,0,,
64192,0,,
64401,x,,
64402,x,,
64420,0,,
64421,x,,
64422,0,,
64423,x,,
64424,x,,
64426,0,,
64427,0,,
64428,0,,
64429,5,,
64430,0,,
64431,0,,
64432,0,,
64433,0,,
64434,x,,
64436,x,,
64437,x,,
64438,0,,
64439,x,,
64440,0,,
64441,0,,
64442,x,,
64443,0,,
64444,0,,
64445,x,,
64446,x,,
64448,0,,
64449,0,,
64451,0,,
64453,0,,
64454,6,,
64455,0,,
64456,x,,
64457,0,,
64458,0,,
64459,0,,
64461,x,,
64463,x,,
64465,6,,
64466,0,,
64467,0,,
64468,x,,
64469,x,,
64470,x,,
64471,0,,
64473,0,,
64474,0,,
64475,0,,
64476,x,,
64477,x,,
64479,x,,
64480,0,,
64481,5,,
64482,x,,
64483,0,,
64484,x,,
64485,x,,
64486,x,,
64487,0,,
64489,x,,
64490,x,,
64491,0,,
64492,x,,
64493,0,,
64494,0,,
64496,0,,
64497,0,,
64498,0,,
64499,0,,
64501,12,,
64503,13,,
64504,9,,
64505,10,,
64506,10,,
64507,17,,
64601,9,,
64620,x,,
64622,0,,
64623,x,,
64624,x,,
64625,0,,
64628,6,,
64630,x,,
64631,0,,
64632,0,,
64633,x,,
64635,x,,
64636,0,,
64637,0,,
64638,0,,
64639,0,,
64640,x,,
64641,x,,
64642,0,,
64643,0,,
64644,x,,
64645,x,,
64646,0,,
64647,0,,
64648,x,,
64649,x,,
64650,0,,
64651,0,,
64652,0,,
64653,0,,
64654,0,,
64655,0,,
64656,0,,
64657,0,,
64658,x,,
64659,0,,
64660,0,,
64661,0,,
64664,x,,
64667,0,,
64668,0,,
64670,x,,
64671,x,,
64672,x,,
64673,x,,
64674,0,,
64676,0,,
64679,0,,
64681,0,,
64682,0,,
64683,12,,
64686,0,,
64688,0,,
64689,x,,
64701,x,,
64720,x,,
64722,0,,
64723,0,,
64724,x,,
64725,x,,
64726,0,,
64728,0,,
64730,x,,
64733,x,,
64734,0,,
64735,11,,
64738,0,,
64739,x,,
64740,x,,
64741,0,,
64742,x,,
64743,0,,
64744,x,,
64745,0,,
64746,x,,
64747,x,,
64748,x,,
64750,0,,
64752,0,,
64755,x,,
64756,0,,
64759,x,,
64761,0,,
64762,0,,
64763,0,,
64765,0,,
64767,x,,
64769,0,,
64770,0,,
64771,0,,
64772,7,,
64776,x,,
64778,x,,
64779,x,,
64780,x,,
64781,0,,
64783,0,,
64784,x,,
64788,0,,
64790,0,,
64801,49,,
64804,28,,
64830,0,,
64831,x,,
64832,x,,
64833,0,,
64834,5,,
64835,0,,
64836,30,,
64840,0,,
64841,0,,
64842,0,,
64843,x,,
64844,5,,
64847,0,,
64848,0,,
64849,0,,
64850,21,,
64854,x,,
64855,x,,
64856,x,,
64857,0,,
64858,0,,
64859,x,,
64861,x,,
64862,0,,
64863,0,,
64865,5,,
64866,x,,
64867,x,,
64870,7,,
64873,0,,
64874,0,,
65001,0,,
65010,x,,
65011,0,,
65013,x,,
65014,0,,
65016,x,,
65017,x,,
65018,x,,
65020,14,,
65023,0,,
65024,x,,
65025,0,,
65026,11,,
65032,x,,
65034,0,,
65035,0,,
65037,5,,
65039,x,,
65040,0,,
65041,x,,
65043,8,,
65046,x,,
65047,x,,
65048,0,,
65049,x,,
65050,0,,
65051,x,,
65052,x,,
65053,0,,
65054,0,,
65058,0,,
65059,0,,
65061,0,,
65062,0,,
65063,x,,
65064,0,,
65065,x,,
65066,5,,
65067,0,,
65068,0,,
65069,0,,
65072,x,,
65074,x,,
65075,0,,
65076,x,,
65077,0,,
65078,x,,
65079,x,,
65080,0,,
65081,x,,
65082,x,,
65083,x,,
65084,x,,
65085,0,,
65101,14,,
65109,17,,
65201,21,,
65202,60,,
65203,39,,
65215,0,,
65230,x,,
65231,x,,
65232,0,,
65233,21,,
65236,x,,
65237,x,,
65239,x,,
65240,6,,
65243,x,,
65244,0,,
65246,0,,
65247,x,,
65248,x,,
65250,x,,
65251,16,,
65254,0,,
65255,x,,
65256,x,,
65257,0,,
65258,0,,
65259,x,,
65260,0,,
65261,0,,
65262,x,,
65263,0,,
65264,x,,
65265,8,,
65270,20,,
65274,x,,
65275,0,,
65276,x,,
65278,0,,
65279,0,,
65280,0,,
65281,x,,
65282,0,,
65283,x,,
65284,x,,
65285,x,,
65286,0,,
65287,0,,
65301,65,,
65305,x,,
65320,0,,
65321,0,,
65322,x,,
65323,0,,
65324,x,,
65325,x,,
65326,x,,
65327,0,,
65329,0,,
65330,0,,
65332,x,,
65333,x,,
65334,x,,
65335,0,,
65336,x,,
65337,0,,
65338,x,,
65339,0,,
65340,8,,
65344,0,,
65345,0,,
65347,0,,
65348,x,,
65349,x,,
65350,x,,
65351,0,,
65354,0,,
65355,17,,
65360,5,,
65401,20,,
65436,0,,
65438,x,,
65439,0,,
65440,0,,
65441,x,,
65443,0,,
65444,0,,
65446,0,,
65449,0,,
65452,x,,
65453,0,,
65456,0,,
65457,0,,
65459,x,,
65461,0,,
65462,0,,
65463,x,,
65464,x,,
65466,0,,
65468,0,,
65470,x,,
65473,x,,
65479,0,,
65483,0,,
65484,0,,
65486,0,,
65501,0,,
65529,0,,
65534,x,,
65535,0,,
65536,7,,
65541,0,,
65542,5,,
65543,0,,
65548,x,,
65550,x,,
65552,x,,
65555,x,,
65556,x,,
65557,0,,
65559,x,,
65560,10,,
65564,0,,
65565,8,,
65566,0,,
65567,x,,
65570,0,,
65571,x,,
65580,0,,
65582,x,,
65583,6,,
65584,x,,
65586,0,,
65588,x,,
65589,0,,
65590,0,,
65591,0,,
65601,0,,
65603,0,,
65604,0,,
65605,6,,
65606,x,,
65608,x,,
65609,x,,
65610,7,,
65611,x,,
65612,x,,
65613,16,,
65614,0,,
65616,20,,
65617,0,,
65618,0,,
65619,6,,
65620,0,,
65622,6,,
65623,0,,
65624,0,,
65625,5,,
65626,0,,
65627,0,,
65629,0,,
65630,0,,
65631,x,,
65632,x,,
65633,x,,
65634,0,,
65635,0,,
65637,x,,
65638,0,,
65640,x,,
65641,x,,
65644,5,,
65646,x,,
65647,x,,
65648,x,,
65649,0,,
65650,0,,
65652,6,,
65653,7,,
65654,0,,
65655,x,,
65656,x,,
65657,0,,
65658,0,,
65660,0,,
65661,x,,
65662,0,,
65663,x,,
65664,0,,
65667,0,,
65668,0,,
65669,x,,
65672,x,,
65674,x,,
65676,x,,
65679,0,,
65680,0,,
65681,x,,
65682,0,,
65685,0,,
65686,x,,
65689,x,,
65690,0,,
65692,0,,
65702,0,,
65704,x,,
65705,x,,
65706,10,,
65707,0,,
65708,x,,
65710,0,,
65711,8,,
65712,x,,
65713,x,,
65714,15,,
65715,x,,
65717,0,,
65720,0,,
65721,9,,
65722,x,,
65723,x,,
65724,x,,
65725,x,,
65727,0,,
65728,0,,
65729,0,,
65730,0,,
65731,0,,
65732,x,,
65733,0,,
65734,x,,
65735,0,,
65737,x,,
65738,9,,
65739,0,,
65740,0,,
65742,7,,
65744,0,,
65745,x,,
65746,5,,
65747,x,,
65752,0,,
65753,0,,
65754,0,,
65755,0,,
65756,0,,
65757,x,,
65759,0,,
65760,0,,
65761,0,,
65762,x,,
65764,0,,
65766,0,,
65767,x,,
65768,0,,
65769,0,,
65770,x,,
65771,x,,
65772,x,,
65773,0,,
65774,x,,
65775,11,,
65777,x,,
65778,0,,
65779,x,,
65781,x,,
65783,0,,
65784,0,,
65785,x,,
65786,x,,
65787,x,,
65788,0,,
65789,0,,
65790,0,,
65791,x,,
65793,x,,
65802,41,,
65803,46,,
65804,31,,
65806,6,,
65807,34,,
65809,x,,
65810,8,,
72644,0,,
Total for selection,5782,,
Missouri,5799,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - EPHT Asthma,
Generated On:,9/13/2019 10:25:20 AM,
