Title:,Missouri EPHT Asthma,
63760,0,,
63763,0,,
63764,6,,
63766,x,,
63767,0,,
63769,0,,
63770,0,,
63771,x,,
63774,0,,
63775,22,,
63780,10,,
63781,x,,
63782,0,,
63783,0,,
63784,x,,
63785,x,,
63787,x,,
63801,65,,
63820,x,,
63821,x,,
63822,x,,
63823,x,,
63824,0,,
63825,x,,
63826,0,,
63827,x,,
63828,0,,
63829,x,,
63830,18,,
63833,0,,
63834,17,,
63837,0,,
63839,x,,
63841,19,,
63845,14,,
63846,x,,
63847,x,,
63848,x,,
63849,0,,
63851,19,,
63852,x,,
63853,0,,
63855,x,,
63857,38,,
63860,0,,
63862,x,,
63863,5,,
63866,0,,
63867,0,,
63868,x,,
63869,9,,
63870,x,,
63873,16,,
63874,0,,
63876,5,,
63877,10,,
63878,x,,
63879,x,,
63880,0,,
63882,0,,
63901,98,,
63932,0,,
63933,8,,
63934,x,,
63935,9,,
63936,x,,
63937,x,,
63939,x,,
63940,x,,
63941,0,,
63942,x,,
63943,x,,
63944,5,,
63945,x,,
63951,x,,
63952,0,,
63953,x,,
63954,0,,
63955,x,,
63956,x,,
63957,5,,
63960,5,,
63961,x,,
63962,0,,
63964,0,,
63965,x,,
63966,7,,
63967,x,,
64001,x,,
64011,x,,
64012,73,,
64014,38,,
64015,43,,
64016,9,,
64017,5,,
64018,0,,
64019,9,,
64020,x,,
64021,0,,
64022,0,,
64024,44,,
64029,20,,
64030,80,,
64034,6,,
64035,0,,
64036,x,,
64037,19,,
64040,14,,
64048,x,,
64050,64,,
64052,76,,
64053,19,,
64054,10,,
64055,76,,
64056,36,,
64057,16,,
64058,16,,
64060,23,,
64061,6,,
64062,11,,
64063,30,,
64064,18,,
64065,0,,
64066,x,,
64067,14,,
64068,59,,
64070,9,,
64071,x,,
64072,x,,
64074,0,,
64075,13,,
64076,11,,
64077,x,,
64078,10,,
64079,14,,
64080,19,,
64081,27,,
64082,10,,
64083,39,,
64084,x,,
64085,15,,
64086,30,,
64088,0,,
64089,12,,
64090,0,,
64092,0,,
64093,59,,
64096,x,,
64097,x,,
64098,x,,
64101,x,,
64105,x,,
64106,44,,
64108,36,,
64109,57,,
64110,63,,
64111,28,,
64112,7,,
64113,x,,
64114,29,,
64116,39,,
64117,41,,
64118,89,,
64119,39,,
64120,x,,
64123,42,,
64124,46,,
64125,5,,
64126,41,,
64127,137,,
64128,130,,
64129,45,,
64130,178,,
64131,83,,
64132,127,,
64133,95,,
64134,119,,
64136,9,,
64137,23,,
64138,66,,
64139,x,,
64145,5,,
64146,x,,
64147,x,,
64149,0,,
64150,x,,
64151,29,,
64152,31,,
64153,6,,
64154,7,,
64155,29,,
64156,5,,
64157,32,,
64158,6,,
64161,x,,
64163,x,,
64164,x,,
64165,0,,
64166,0,,
64167,x,,
64192,0,,
64401,x,,
64402,x,,
64420,0,,
64421,x,,
64422,0,,
64423,x,,
64424,11,,
64426,x,,
64427,0,,
64428,0,,
64429,18,,
64430,0,,
64431,x,,
64432,x,,
64433,0,,
64434,x,,
64436,x,,
64437,x,,
64438,0,,
64439,x,,
64440,0,,
64441,0,,
64442,x,,
64443,x,,
64444,0,,
64445,x,,
64446,x,,
64448,0,,
64449,0,,
64451,0,,
64453,0,,
64454,7,,
64455,x,,
64456,x,,
64457,0,,
64458,0,,
64459,0,,
64461,x,,
64463,x,,
64465,11,,
64466,0,,
64467,0,,
64468,10,,
64469,5,,
64470,x,,
64471,x,,
64473,0,,
64474,x,,
64475,0,,
64476,x,,
64477,x,,
64479,5,,
64480,0,,
64481,8,,
64482,x,,
64483,0,,
64484,x,,
64485,9,,
64486,x,,
64487,0,,
64489,x,,
64490,x,,
64491,0,,
64492,x,,
64493,0,,
64494,0,,
64496,0,,
64497,0,,
64498,x,,
64499,0,,
64501,25,,
64503,21,,
64504,18,,
64505,22,,
64506,22,,
64507,28,,
64601,16,,
64620,x,,
64622,0,,
64623,x,,
64624,x,,
64625,0,,
64628,12,,
64630,x,,
64631,0,,
64632,x,,
64633,8,,
64635,x,,
64636,0,,
64637,0,,
64638,0,,
64639,0,,
64640,x,,
64641,x,,
64642,0,,
64643,0,,
64644,x,,
64645,x,,
64646,0,,
64647,0,,
64648,x,,
64649,x,,
64650,x,,
64651,x,,
64652,x,,
64653,0,,
64654,0,,
64655,0,,
64656,0,,
64657,x,,
64658,5,,
64659,0,,
64660,0,,
64661,x,,
64664,x,,
64667,0,,
64668,x,,
64670,x,,
64671,x,,
64672,x,,
64673,x,,
64674,0,,
64676,0,,
64679,0,,
64681,x,,
64682,0,,
64683,23,,
64686,0,,
64688,0,,
64689,x,,
64701,13,,
64720,5,,
64722,x,,
64723,0,,
64724,x,,
64725,5,,
64726,0,,
64728,0,,
64730,6,,
64733,5,,
64734,x,,
64735,23,,
64738,x,,
64739,x,,
64740,x,,
64741,0,,
64742,x,,
64743,x,,
64744,16,,
64745,0,,
64746,x,,
64747,5,,
64748,x,,
64750,0,,
64752,x,,
64755,x,,
64756,0,,
64759,14,,
64761,x,,
64762,x,,
64763,x,,
64765,0,,
64767,x,,
64769,0,,
64770,0,,
64771,0,,
64772,16,,
64776,13,,
64778,x,,
64779,x,,
64780,x,,
64781,0,,
64783,0,,
64784,5,,
64788,x,,
64790,0,,
64801,95,,
64804,72,,
64830,0,,
64831,8,,
64832,x,,
64833,0,,
64834,16,,
64835,0,,
64836,50,,
64840,x,,
64841,x,,
64842,0,,
64843,6,,
64844,7,,
64847,0,,
64848,0,,
64849,0,,
64850,40,,
64854,5,,
64855,x,,
64856,7,,
64857,0,,
64858,0,,
64859,x,,
64861,x,,
64862,x,,
64863,x,,
64865,9,,
64866,x,,
64867,7,,
64870,24,,
64873,x,,
64874,x,,
65001,0,,
65010,6,,
65011,0,,
65013,x,,
65014,0,,
65016,x,,
65017,x,,
65018,9,,
65020,25,,
65023,0,,
65024,x,,
65025,0,,
65026,20,,
65032,x,,
65034,0,,
65035,x,,
65037,10,,
65039,5,,
65040,0,,
65041,x,,
65043,19,,
65046,x,,
65047,5,,
65048,0,,
65049,7,,
65050,0,,
65051,5,,
65052,5,,
65053,x,,
65054,0,,
65058,0,,
65059,0,,
65061,x,,
65062,x,,
65063,x,,
65064,0,,
65065,x,,
65066,9,,
65067,x,,
65068,0,,
65069,0,,
65072,x,,
65074,x,,
65075,0,,
65076,x,,
65077,x,,
65078,6,,
65079,x,,
65080,x,,
65081,x,,
65082,x,,
65083,x,,
65084,5,,
65085,0,,
65101,37,,
65109,35,,
65201,45,,
65202,140,,
65203,75,,
65215,0,,
65230,x,,
65231,x,,
65232,0,,
65233,30,,
65236,x,,
65237,x,,
65239,x,,
65240,10,,
65243,x,,
65244,0,,
65246,0,,
65247,x,,
65248,6,,
65250,x,,
65251,38,,
65254,x,,
65255,5,,
65256,5,,
65257,0,,
65258,0,,
65259,x,,
65260,0,,
65261,x,,
65262,x,,
65263,x,,
65264,x,,
65265,20,,
65270,26,,
65274,x,,
65275,x,,
65276,x,,
65278,0,,
65279,x,,
65280,0,,
65281,x,,
65282,0,,
65283,x,,
65284,x,,
65285,x,,
65286,0,,
65287,0,,
65301,145,,
65305,9,,
65320,x,,
65321,0,,
65322,x,,
65323,x,,
65324,x,,
65325,11,,
65326,7,,
65327,0,,
65329,0,,
65330,0,,
65332,x,,
65333,5,,
65334,5,,
65335,x,,
65336,10,,
65337,0,,
65338,6,,
65339,0,,
65340,22,,
65344,0,,
65345,x,,
65347,0,,
65348,x,,
65349,x,,
65350,x,,
65351,x,,
65354,0,,
65355,26,,
65360,12,,
65401,42,,
65436,x,,
65438,6,,
65439,0,,
65440,0,,
65441,6,,
65443,0,,
65444,x,,
65446,0,,
65449,0,,
65452,x,,
65453,11,,
65456,x,,
65457,0,,
65459,5,,
65461,0,,
65462,x,,
65463,x,,
65464,x,,
65466,0,,
65468,0,,
65470,x,,
65473,x,,
65479,0,,
65483,x,,
65484,0,,
65486,x,,
65501,0,,
65529,0,,
65534,x,,
65535,x,,
65536,22,,
65541,0,,
65542,10,,
65543,0,,
65548,x,,
65550,5,,
65552,x,,
65555,x,,
65556,7,,
65557,0,,
65559,11,,
65560,18,,
65564,0,,
65565,13,,
65566,0,,
65567,x,,
65570,x,,
65571,x,,
65580,0,,
65582,x,,
65583,8,,
65584,7,,
65586,0,,
65588,x,,
65589,0,,
65590,0,,
65591,x,,
65601,x,,
65603,0,,
65604,x,,
65605,16,,
65606,x,,
65608,6,,
65609,x,,
65610,9,,
65611,x,,
65612,x,,
65613,25,,
65614,0,,
65616,41,,
65617,x,,
65618,x,,
65619,10,,
65620,0,,
65622,9,,
65623,0,,
65624,x,,
65625,11,,
65626,0,,
65627,0,,
65629,0,,
65630,0,,
65631,x,,
65632,x,,
65633,10,,
65634,0,,
65635,0,,
65637,x,,
65638,0,,
65640,x,,
65641,x,,
65644,6,,
65646,x,,
65647,x,,
65648,x,,
65649,0,,
65650,x,,
65652,14,,
65653,10,,
65654,0,,
65655,x,,
65656,x,,
65657,0,,
65658,x,,
65660,0,,
65661,x,,
65662,x,,
65663,x,,
65664,0,,
65667,0,,
65668,0,,
65669,x,,
65672,x,,
65674,8,,
65676,x,,
65679,x,,
65680,0,,
65681,5,,
65682,0,,
65685,0,,
65686,x,,
65689,x,,
65690,0,,
65692,x,,
65702,0,,
65704,x,,
65705,8,,
65706,13,,
65707,x,,
65708,7,,
65710,0,,
65711,14,,
65712,6,,
65713,x,,
65714,27,,
65715,x,,
65717,0,,
65720,0,,
65721,27,,
65722,x,,
65723,x,,
65724,x,,
65725,x,,
65727,0,,
65728,0,,
65729,0,,
65730,0,,
65731,0,,
65732,x,,
65733,0,,
65734,5,,
65735,0,,
65737,9,,
65738,10,,
65739,x,,
65740,5,,
65742,11,,
65744,0,,
65745,x,,
65746,9,,
65747,5,,
65752,0,,
65753,x,,
65754,0,,
65755,0,,
65756,x,,
65757,x,,
65759,x,,
65760,0,,
65761,0,,
65762,x,,
65764,0,,
65766,0,,
65767,x,,
65768,0,,
65769,x,,
65770,x,,
65771,x,,
65772,6,,
65773,0,,
65774,x,,
65775,31,,
65777,x,,
65778,0,,
65779,6,,
65781,x,,
65783,0,,
65784,0,,
65785,6,,
65786,x,,
65787,x,,
65788,0,,
65789,x,,
65790,0,,
65791,x,,
65793,x,,
65802,81,,
65803,95,,
65804,56,,
65806,17,,
65807,69,,
65809,10,,
65810,12,,
72644,0,,
Total for selection,12273,,
Missouri,12312,,
Confidentiality:,The "x" symbol indicates the confidentiality rule has been triggered.,
Source:,DHSS - MOPHIMS - EPHT Asthma,
Generated On:,9/25/2019 1:17:19 PM,
